epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6788,3.25678,126.305,1.12917,0,0,0,0,2.66597,45.1339,0.94601,0.00016,0.00016,0.00016
2,95.8616,2.93441,80.588,0.99677,0,0,0,0,3.21769,34.8604,0.92524,0.000333268,0.000333268,0.000333268
3,133.237,3.37671,60.0001,1.01789,0,0,0,0,2.75934,34.5196,0.92111,0.000499408,0.000499408,0.000499408
4,170.569,3.24126,42.9452,0.98018,0,0,0,0,2.716,37.5362,0.91065,0.00065842,0.00065842,0.00065842
5,211.079,3.25876,38.2845,0.9759,9e-05,0.02564,4e-05,1e-05,2.57455,19.1355,0.90824,0.000810304,0.000810304,0.000810304
6,250.014,3.24535,41.2131,0.95581,0.00043,0.12821,0.00032,0.0001,2.88123,16.2831,0.90074,0.00095506,0.00095506,0.00095506
7,285.318,2.89517,32.4356,0.91407,0.00094,0.28205,0.00069,0.00018,2.64463,14.6691,0.91434,0.00109269,0.00109269,0.00109269
8,322.497,2.97996,29.1208,0.93074,0.36024,0.01847,0.03698,0.01169,2.4324,15.6001,0.92018,0.00122319,0.00122319,0.00122319
9,357.279,2.91896,24.7781,0.95267,0.78542,0.05128,0.08883,0.03484,2.21734,12.7323,0.8876,0.00134656,0.00134656,0.00134656
10,395.164,3.0265,29.4429,0.95047,0.71045,0.12821,0.19439,0.05339,2.74185,13.9657,0.97873,0.0014628,0.0014628,0.0014628
11,438.168,2.95927,29.493,0.96575,0.13593,0.05128,0.04262,0.00962,2.83619,12.8088,1.06201,0.00157192,0.00157192,0.00157192
12,487.708,2.94008,25.6621,0.90242,0.0006,0.17949,0.00108,0.00019,3.1173,15.4448,1.02185,0.0015644,0.0015644,0.0015644
13,524.679,3.02108,22.9674,0.95876,0.00051,0.15385,0.0007,0.0002,3.76022,30.2248,1.18331,0.0015248,0.0015248,0.0015248
14,562.709,2.86349,23.4867,0.92008,0.02738,0.02564,0.003,0.00065,3.72085,22.2942,1.15725,0.0014852,0.0014852,0.0014852
15,597.906,2.73201,20.3618,0.91511,0.31696,0.12821,0.16185,0.04676,2.90555,16.8326,1.08993,0.0014456,0.0014456,0.0014456
16,635.572,2.90025,19.958,0.93616,0.40496,0.30769,0.26292,0.10417,2.16665,12.3331,0.97277,0.001406,0.001406,0.001406
17,672.914,2.81022,18.9953,0.92372,0.33765,0.33333,0.20846,0.05601,2.41574,10.6203,0.93865,0.0013664,0.0013664,0.0013664
18,711.272,2.98509,19.484,0.9309,0.40217,0.38462,0.25636,0.07414,2.26107,8.45285,0.94346,0.0013268,0.0013268,0.0013268
19,749.35,2.86671,15.9254,0.90541,0.28588,0.25641,0.21515,0.06003,2.32144,8.94792,0.93514,0.0012872,0.0012872,0.0012872
20,786.263,2.71074,13.1647,0.92881,0.34049,0.28205,0.21776,0.04973,2.26687,9.52201,0.96452,0.0012476,0.0012476,0.0012476
21,820.797,2.86827,15.2098,0.9118,0.48169,0.30769,0.27182,0.06501,2.21068,7.75273,0.93929,0.001208,0.001208,0.001208
22,858.988,2.74834,14.7614,0.90517,0.40338,0.30769,0.29796,0.10442,2.25372,8.31577,0.89709,0.0011684,0.0011684,0.0011684
23,896.834,2.71513,13.8052,0.88157,0.3051,0.33333,0.26793,0.09625,2.7224,8.58884,0.91883,0.0011288,0.0011288,0.0011288
24,934.291,2.72858,14.385,0.9228,0.30988,0.25641,0.21196,0.0681,2.97482,9.03787,0.93058,0.0010892,0.0010892,0.0010892
25,971.862,2.75277,10.7351,0.91876,0.51933,0.28205,0.36335,0.12921,2.46843,8.08414,0.90035,0.0010496,0.0010496,0.0010496
26,1009.85,2.44022,11.0903,0.88093,0.53835,0.38462,0.41239,0.15297,2.47493,8.16605,0.89954,0.00101,0.00101,0.00101
27,1047.53,2.49211,10.3909,0.89833,0.72963,0.38462,0.4997,0.17794,2.24117,7.13724,0.89204,0.0009704,0.0009704,0.0009704
28,1082.99,2.51955,10.0045,0.88213,0.66498,0.41026,0.50102,0.15013,2.13796,6.89149,0.88299,0.0009308,0.0009308,0.0009308
29,1120.66,2.35114,9.69167,0.89878,0.49326,0.33333,0.37104,0.12041,2.68636,7.41882,0.89806,0.0008912,0.0008912,0.0008912
30,1158.71,2.33766,9.73607,0.86469,0.33743,0.4359,0.3583,0.14099,2.53062,6.92852,0.88774,0.0008516,0.0008516,0.0008516
31,1196.25,2.37431,9.6516,0.85586,0.39562,0.38462,0.38005,0.14263,2.18919,6.63107,0.87276,0.000812,0.000812,0.000812
32,1231.59,2.34373,7.66838,0.88329,0.53817,0.30769,0.38602,0.16233,2.38022,6.99617,0.88463,0.0007724,0.0007724,0.0007724
33,1269.26,2.34943,8.5161,0.87007,0.50352,0.33821,0.39002,0.1566,2.52118,8.19953,0.88744,0.0007328,0.0007328,0.0007328
34,1307.26,2.43436,9.82076,0.86856,0.66755,0.33333,0.38831,0.16793,2.24417,7.41994,0.90611,0.0006932,0.0006932,0.0006932
35,1344.89,2.42679,8.45294,0.88656,0.61945,0.28205,0.36636,0.1346,2.51761,7.94621,0.94432,0.0006536,0.0006536,0.0006536
36,1380.34,2.25254,7.63802,0.85946,0.50854,0.30769,0.32799,0.14677,2.44263,7.60144,0.91215,0.000614,0.000614,0.000614
37,1417.95,2.34129,7.3318,0.87065,0.52939,0.35897,0.31689,0.1295,2.36322,7.35909,0.90888,0.0005744,0.0005744,0.0005744
38,1455.95,2.27056,7.85926,0.87881,0.47293,0.35897,0.33687,0.14274,2.07123,6.42731,0.91244,0.0005348,0.0005348,0.0005348
39,1491.24,2.36927,7.3967,0.86697,0.6407,0.41026,0.44642,0.15721,1.91235,5.77487,0.90523,0.0004952,0.0004952,0.0004952
40,1528.97,2.41586,7.44504,0.88313,0.64672,0.38462,0.45647,0.18195,1.94201,5.53294,0.90732,0.0004556,0.0004556,0.0004556
41,1587.58,2.22454,9.13866,0.89855,0.50073,0.38462,0.38413,0.14095,2.15978,5.56281,0.90651,0.000416,0.000416,0.000416
42,1625.45,2.2482,9.71696,0.90957,0.57206,0.51282,0.4619,0.14641,2.13616,4.56646,0.91137,0.0003764,0.0003764,0.0003764
43,1660.53,2.34579,9.54942,0.88463,0.57661,0.53846,0.48263,0.14982,2.11013,3.13353,0.90809,0.0003368,0.0003368,0.0003368
44,1698.04,2.33569,9.54339,0.85898,0.52831,0.46154,0.49855,0.17276,1.94323,2.84756,0.90284,0.0002972,0.0002972,0.0002972
45,1735.43,2.31281,9.49158,0.85931,0.53121,0.4359,0.44224,0.16164,1.98076,2.80028,0.90396,0.0002576,0.0002576,0.0002576
46,1773.28,2.21552,8.65028,0.87532,0.60104,0.4636,0.47908,0.16907,2.02433,2.74522,0.90377,0.000218,0.000218,0.000218
47,1810.72,2.13368,7.90444,0.88135,0.61941,0.41026,0.49503,0.16826,2.01442,2.66308,0.9036,0.0001784,0.0001784,0.0001784
48,1845.96,2.14295,8.67034,0.84723,0.62446,0.4359,0.48981,0.15509,1.94274,2.5311,0.90126,0.0001388,0.0001388,0.0001388
49,1883.45,2.17677,7.50768,0.89853,0.63903,0.4359,0.49164,0.16112,1.92479,2.5428,0.90143,9.92e-05,9.92e-05,9.92e-05
50,1921.35,1.98205,7.58057,0.84177,0.61257,0.4359,0.47568,0.17147,1.874,2.54427,0.90008,5.96e-05,5.96e-05,5.96e-05
